epoch,batch,loss,rte
0,0,24971.986328125,45.3088493347168
0,1,46214.2890625,58.956729888916016
0,2,32598.015625,49.203765869140625
0,3,24418.97265625,38.69499206542969
0,4,19000.3828125,38.162357330322266
0,5,34642.7578125,50.98193359375
0,6,34456.1796875,51.301429748535156
0,7,42906.609375,59.0406608581543
0,8,39959.08984375,54.10044860839844
0,9,37864.69921875,53.12305450439453
0,10,41460.19140625,54.57219696044922
0,11,50380.87890625,64.96253204345703
0,12,28802.76953125,44.210487365722656
0,13,25812.33203125,43.83477020263672
0,14,16500.66015625,31.801849365234375
0,15,23521.583984375,43.43196105957031
0,16,32206.4921875,49.5703239440918
0,17,44267.5234375,59.57243347167969
0,18,31153.533203125,47.33155059814453
0,19,28797.3984375,44.089942932128906
0,20,32290.62109375,51.2320442199707
0,21,27119.552734375,46.614715576171875
0,22,34402.1015625,49.76116943359375
0,23,26900.75,43.948822021484375
0,24,40920.06640625,56.4348030090332
0,25,47904.703125,60.37725067138672
0,26,27122.359375,45.41204833984375
0,27,29142.568359375,48.63505554199219
0,28,30234.431640625,49.61814880371094
0,29,39438.6171875,57.42253494262695
0,30,35932.21875,53.88545227050781
0,31,32328.197265625,49.74130630493164
0,32,28560.234375,43.92266845703125
0,33,39111.79296875,56.22092819213867
0,34,36752.9609375,49.66279220581055
0,35,38683.82421875,55.10823059082031
0,36,53395.5234375,66.08250427246094
0,37,26758.4140625,43.38145446777344
0,38,16918.75390625,34.717159271240234
0,39,29753.375,48.31801223754883
0,40,36225.1328125,51.820716857910156
0,41,26872.564453125,46.24311828613281
0,42,34806.78515625,53.31050109863281
0,43,39397.64453125,55.27748107910156
0,44,35638.6328125,53.75624084472656
0,45,28137.98046875,46.188968658447266
0,46,13320.619140625,31.504423141479492
0,47,30475.41015625,49.76620101928711
0,48,24786.041015625,45.45559310913086
0,49,17561.576171875,35.65105438232422
0,50,33915.46484375,52.22780990600586
0,51,23781.0703125,43.61100387573242
0,52,24015.9921875,42.578582763671875
0,53,30194.1640625,46.01909637451172
0,54,32413.00390625,51.331851959228516
0,55,47831.6796875,61.15925598144531
0,56,27469.388671875,42.029823303222656
0,57,43957.6015625,59.771575927734375
0,58,21328.533203125,40.8492431640625
0,59,25167.544921875,43.11393737792969
0,60,33571.30078125,51.11854934692383
0,61,35502.55078125,54.078277587890625
0,62,43924.12890625,60.79677963256836
0,63,22884.4375,41.92726516723633
0,64,46341.04296875,62.007144927978516
0,65,30207.5703125,45.875572204589844
0,66,29149.291015625,46.04166030883789
0,67,24128.361328125,40.85065841674805
0,68,31601.53125,45.0131950378418
0,69,43428.18359375,55.717491149902344
0,70,35147.1796875,50.81707000732422
0,71,22813.982421875,41.12508010864258
0,72,29737.0546875,46.45151901245117
0,73,40854.4140625,58.028873443603516
0,74,39111.58984375,55.214385986328125
0,75,23065.439453125,41.273563385009766
0,76,32823.0546875,50.758819580078125
0,77,19050.916015625,39.534217834472656
0,78,33682.00390625,50.70061492919922
0,79,25854.80859375,41.56559753417969
0,80,29583.162109375,49.182594299316406
0,81,24319.267578125,43.46923828125
0,82,35213.765625,52.94529342651367
0,83,42464.234375,58.49040985107422
0,84,17484.7421875,32.83816146850586
0,85,28212.869140625,46.31269073486328
0,86,35385.4765625,51.32699966430664
0,87,45752.36328125,61.967620849609375
0,88,23189.98828125,38.936702728271484
0,89,37060.109375,53.24056625366211
0,90,46771.21875,60.720848083496094
0,91,43384.2578125,59.577857971191406
0,92,22798.375,38.9040641784668
0,93,31082.34375,48.309112548828125
0,94,26082.060546875,43.40040588378906
0,95,38340.109375,56.064720153808594
0,96,29472.599609375,49.05409622192383
0,97,20590.73828125,36.52082824707031
0,98,42650.09375,58.522403717041016
0,99,19346.09375,35.99897384643555
0,100,26513.33984375,44.28986358642578
0,101,23048.4921875,39.01628494262695
0,102,24503.037109375,42.28779983520508
0,103,34586.73828125,50.94473648071289
0,104,16981.61328125,37.258426666259766
0,105,39509.671875,53.22872543334961
0,106,34857.2109375,52.019203186035156
0,107,51980.73046875,65.62664794921875
0,108,40071.37890625,55.044830322265625
0,109,32622.0,50.32097244262695
0,110,43680.6640625,59.60539245605469
0,111,38270.828125,55.02845764160156
0,112,20729.400390625,39.52545166015625
0,113,28911.09375,48.35392379760742
0,114,14556.224609375,32.54051208496094
0,115,27928.552734375,47.36604309082031
0,116,31414.19921875,48.49165344238281
0,117,40229.19140625,57.58806610107422
0,118,26837.798828125,44.12273025512695
0,119,30613.150390625,49.62459945678711
0,120,12840.552734375,29.256019592285156
0,121,31787.51953125,50.18560791015625
0,122,27744.40625,45.38227081298828
0,123,23844.578125,40.115840911865234
0,124,15747.66796875,34.88719177246094
0,125,39096.28515625,56.85197067260742
0,126,25791.34765625,45.09889602661133
0,127,23371.958984375,42.669471740722656
0,128,48709.02734375,62.66533660888672
0,129,24744.42578125,43.46262741088867
0,130,31037.275390625,49.939090728759766
0,131,39973.6875,54.57699966430664
